what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331324029157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331324045471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331324046243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331324057096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331324058368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331324058969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331324059569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331324081410
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331324120962
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331324142472
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331324331974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331324364848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331324710830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331324779506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331325504099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331325523568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331325540836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331327444272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331328717933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331340480577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331340481160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331404437162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331404443137
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331404450017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331404474072
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331404476396
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331404476568
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331404481997
